	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000000167	14	20	20	25	16	31	PIH1 domain containing 2	Pih1d2
ENSMUSG00000000168	902	1132.001	1410	1096.999	1636	1558	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	Dlat
ENSMUSG00000000171	1693	2323	2802	2902	2214	3935	succinate dehydrogenase complex, subunit D, integral membrane protein	Sdhd
ENSMUSG00000000182	0	0	2	0	0	0	fibroblast growth factor 23	Fgf23
ENSMUSG00000000183	1.002	0	2.764	0	1.001	0	fibroblast growth factor 6	Fgf6
ENSMUSG00000000184	300.999	222	280	242	241	446	cyclin D2	Ccnd2
ENSMUSG00000000194	2247.291	1017.336	2459.195	1740.579	3345.871	2968.633	G protein-coupled receptor 107	Gpr107
ENSMUSG00000000197	0	1	3.002	0	0	2	sodium leak channel, non-selective	Nalcn
ENSMUSG00000000202	0	3	2	3	5	2	BTB (POZ) domain containing 17	Btbd17
ENSMUSG00000000204	70.134	102.644	200.131	124.151	160.611	94.679	schlafen 4	Slfn4
ENSMUSG00000000214	45	45	63	41	72	25.001	tyrosine hydroxylase	Th
ENSMUSG00000000215	5	0	3	3	2	7	insulin II	Ins2
ENSMUSG00000000216	91	46	143	68	165	117	sodium channel, nonvoltage-gated 1 gamma	Scnn1g
ENSMUSG00000000223	139.203	92.191	180.292	195.15	186.65	159.093	dystrophin related protein 2	Drp2
ENSMUSG00000000244	21.01	18.021	20.012	20.168	15.187	20.223	tetraspanin 32	Tspan32
ENSMUSG00000000247	280	219	357.999	213.999	380	284	LIM homeobox protein 2	Lhx2
ENSMUSG00000000248	1.067	1.101	3.009	0	1	1	C-type lectin domain family 2, member g	Clec2g
ENSMUSG00000000253	419	512	425	439.999	261	893	guanosine monophosphate reductase	Gmpr
ENSMUSG00000000263	0	0	0	0	0	0	glycine receptor, alpha 1 subunit	Glra1
ENSMUSG00000000266	294	171	323.166	133	393	354.919	midline 2	Mid2
ENSMUSG00000000275	2334.124	1527.788	2621.97	2114.138	3727.264	3405.566	tripartite motif-containing 25	Trim25
ENSMUSG00000000276	343.567	198.359	313.517	318.076	647.019	418.762	diacylglycerol kinase, epsilon	Dgke
ENSMUSG00000000278	5958	3683	7884	5559	8090	8873	serine carboxypeptidase 1	Scpep1
ENSMUSG00000000282	961	532	1192	746	1530	1306	max binding protein	Mnt
ENSMUSG00000000290	88	132	187	134	261	150	integrin beta 2	Itgb2
ENSMUSG00000000295	68	123	137	114	112	132.999	HD domain containing 2	Hddc2
ENSMUSG00000000296	31	18	39	36	46	48	tumor protein D52-like 1	Tpd52l1
ENSMUSG00000000301	47	46.001	43	64	65	70	phosphatidylethanolamine N-methyltransferase	Pemt
ENSMUSG00000000303	2213	773	1356	2271	2177	5627	cadherin 1	Cdh1
ENSMUSG00000000305	92	28	98.999	51	108.001	103	cadherin 4	Cdh4
ENSMUSG00000000308	36	50	49	84	67	89	creatine kinase, mitochondrial 1, ubiquitous	Ckmt1
ENSMUSG00000000317	24	36	30	46	110	49	B cell CLL/lymphoma 6, member B	Bcl6b
ENSMUSG00000000318	7.646	10.015	7	8.638	10.407	4.325	C-type lectin domain family 10, member A	Clec10a
ENSMUSG00000000320	41.709	44	55	48.112	55.015	59.253	arachidonate 12-lipoxygenase	Alox12
ENSMUSG00000000325	1073	852	1498.034	1006.999	1863	1555	NA	NA
ENSMUSG00000000326	1599.492	1634.253	2323.181	1478.857	1758.857	1889.438	catechol-O-methyltransferase	Comt
ENSMUSG00000000339	346	483	508	499	613.999	624	RNA 3'-terminal phosphate cyclase	Rtca
ENSMUSG00000000340	330.679	318.801	447.692	372.956	544.694	551.346	dihydrolipoamide branched chain transacylase E2	Dbt
ENSMUSG00000000346	2994.893	3352.676	4588.711	3451.754	4460.374	4881.889	DAZ associated protein 2	Dazap2
ENSMUSG00000000355	239	377.999	440.999	382.999	442	460.001	malignant T cell amplified sequence 1	Mcts1
ENSMUSG00000000359	13	19	24	22.001	11	27	rad and gem related GTP binding protein 1	Rem1
ENSMUSG00000000365	54	38.999	48.001	59	83	116	ring finger protein 17	Rnf17
ENSMUSG00000000374	1017.001	788	1059	1034	1746	1716	trafficking protein particle complex 10	Trappc10
ENSMUSG00000000378	1223	1401.999	1764.999	1257.001	1950.999	1608	cerebral cavernous malformation 2	Ccm2
ENSMUSG00000000381	1	0	0	0	0	0	whey acidic protein	Wap
ENSMUSG00000000384	587.622	536.561	713.068	637.196	845.802	793.345	transforming growth factor beta regulated gene 4	Tbrg4
ENSMUSG00000000385	1632	925.999	1380.999	1959	972	5141	transmembrane protease, serine 2	Tmprss2
ENSMUSG00000000392	4.974	9.424	3	0	5.052	2	fibroblast activation protein	Fap
ENSMUSG00000000394	0	3	0	0	0	0	glucagon	Gcg
ENSMUSG00000000399	1332.005	1948	1885	1668	1715.004	2085	NADH:ubiquinone oxidoreductase subunit A9	Ndufa9
ENSMUSG00000000402	19.071	12.027	6.312	28.087	23.995	36.11	EGF-like-domain, multiple 6	Egfl6
ENSMUSG00000000409	23	20	32	27	38	32	lymphocyte protein tyrosine kinase	Lck
ENSMUSG00000000411	7	3	6	2	7	8	testis-specific serine kinase 3	Tssk3
ENSMUSG00000000416	19	7	2	14	23	30	cortactin binding protein 2	Cttnbp2
ENSMUSG00000000420	2512	1786	3274	2614	4409.001	4230	polypeptide N-acetylgalactosaminyltransferase 1	Galnt1
ENSMUSG00000000435	0	0	0	0	2	0	myogenic factor 5	Myf5
ENSMUSG00000000439	401	516.046	646.043	469	709.781	635.136	makorin, ring finger protein, 2	Mkrn2
ENSMUSG00000000440	3500	4089	5279.001	3041	4720.999	3810	peroxisome proliferator activated receptor gamma	Pparg
ENSMUSG00000000441	2224.999	2252	2994.958	2349.999	3131.333	3765.863	v-raf-leukemia viral oncogene 1	Raf1
ENSMUSG00000000486	38	69	88	42	84	54	septin 1	Septin1
ENSMUSG00000000489	572.999	357	719	420	788	794	platelet derived growth factor, B polypeptide	Pdgfb
ENSMUSG00000000530	1584.001	895.001	1825.998	811	1502.998	1425.999	activin A receptor, type II-like 1	Acvrl1
ENSMUSG00000000531	293	352.95	446	216	418	399.003	trafficking regulator and scaffold protein tamalin	Tamalin
ENSMUSG00000000532	962	327	932	627	934	1566	activin A receptor, type 1B	Acvr1b
ENSMUSG00000000538	690	341	728.001	569.001	987	1426	target of myb1-like 2 (chicken)	Tom1l2
ENSMUSG00000000544	11	1	2	13	10	30	glycoprotein A33 (transmembrane)	Gpa33
ENSMUSG00000000552	133	84	153	138	163	219	zinc finger protein 385A	Zfp385a
ENSMUSG00000000555	3841	1696	4326	2888	6343.999	4554	integrin alpha 5 (fibronectin receptor alpha)	Itga5
ENSMUSG00000000560	2.522	1.002	3.911	12.03	0	15.06	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	Gabra2
ENSMUSG00000000561	807.003	984.092	1165.015	952.692	1436.701	1247.378	WD repeat domain 77	Wdr77
ENSMUSG00000000562	0	2	1	2.478	5.421	6.272	adenosine A3 receptor	Adora3
ENSMUSG00000000563	3072	5095.496	5526.016	4661.77	4781.999	5782.009	ATP synthase peripheral stalk-membrane subunit b	Atp5pb
ENSMUSG00000000567	125	76	89	59	101	63	SRY (sex determining region Y)-box 9	Sox9
ENSMUSG00000000568	2178.209	3142.244	3769.48	2478.313	3968.609	3427.015	heterogeneous nuclear ribonucleoprotein D	Hnrnpd
ENSMUSG00000000579	11.893	5.561	16.468	8.348	10.218	10.489	dynein light chain Tctex-type 1C	Dynlt1c
ENSMUSG00000000581	790	1150	1263.001	1323	1024	1460.999	C1D nuclear receptor co-repressor	C1d
ENSMUSG00000000594	13419	10295	16462	13247	19757	16629	GM2 ganglioside activator protein	Gm2a
ENSMUSG00000000600	546.299	553.609	800.65	651.51	951.571	925.399	KRIT1, ankyrin repeat containing	Krit1
ENSMUSG00000000605	1180.999	748	1481	994.001	1587	1620.999	chloride channel, voltage-sensitive 4	Clcn4
ENSMUSG00000000606	0	0	0	1.068	6.124	2.027	vomeronasal 2, receptor 88	Vmn2r88
ENSMUSG00000000617	0	0	0	0	1	0	glutamate receptor, metabotropic 6	Grm6
ENSMUSG00000000627	2.078	3.818	5	6.002	6.061	7.15	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	Sema4f
ENSMUSG00000000628	2000	1324	3002	1404	3035	2575	hexokinase 2	Hk2
ENSMUSG00000000631	2615.291	2397.123	2423.42	2294.146	3641.11	4188.238	myosin XVIIIA	Myo18a
ENSMUSG00000000632	2	1	4	4	1	2	seizure related gene 6	Sez6
ENSMUSG00000000673	100	158	84	333.001	43	459.999	3-hydroxyanthranilate 3,4-dioxygenase	Haao
ENSMUSG00000000682	48	56	88	66	70	53	CD52 antigen	Cd52
ENSMUSG00000000686	44	32	45	41	62	66	abhydrolase domain containing 15	Abhd15
ENSMUSG00000000690	7	11	15	19	28.718	20.032	homeobox B6	Hoxb6
ENSMUSG00000000693	29	24	27	51	34	64	lysyl oxidase-like 3	Loxl3
ENSMUSG00000000701	0	0	0	1.133	0	1	T cell leukemia/lymphoma 1B, 5	Tcl1b5
ENSMUSG00000000706	23.775	8	56	48	28	33.001	butyrophilin, subfamily 1, member A1	Btn1a1
ENSMUSG00000000708	543	367	633	565	837	944	K(lysine) acetyltransferase 2B	Kat2b
ENSMUSG00000000711	2804	2357	3387	2529	4074	4020.115	RAB5B, member RAS oncogene family	Rab5b
ENSMUSG00000000724	0	0	2	0	0	0	crystallin, beta A1	Cryba1
ENSMUSG00000000730	58	50	33	65	82	57	DNA (cytosine-5-)-methyltransferase 3-like	Dnmt3l
ENSMUSG00000000731	0	1.412	0	0	0	3.644	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	Aire
ENSMUSG00000000732	75	32	83	54	46.001	90	icos ligand	Icosl
ENSMUSG00000000738	705.002	579.018	952.999	803	1106	1273.996	SPG7, paraplegin matrix AAA peptidase subunit	Spg7
ENSMUSG00000000739	16.139	19.285	25.544	38.272	33.559	39.18	sulfotransferase family 5A, member 1	Sult5a1
ENSMUSG00000000740	2235.195	3370.879	4025.411	3636.796	3509.349	3894.161	ribosomal protein L13	Rpl13
ENSMUSG00000000743	1905	1927	2595	2104	2916	2877.999	charged multivesicular body protein 1A	Chmp1a
ENSMUSG00000000751	619.999	714.001	986	839	1237	1075	replication protein A1	Rpa1
ENSMUSG00000000753	171	70	75.001	197	26	679	serine (or cysteine) peptidase inhibitor, clade F, member 1	Serpinf1
ENSMUSG00000000759	533	564	898.999	597.681	980.999	760.194	tubulin, gamma complex associated protein 3	Tubgcp3
ENSMUSG00000000766	2	1	3	2	0	2	opioid receptor, mu 1	Oprm1
ENSMUSG00000000776	544	525.999	735.999	537	805.001	658	polymerase (RNA) III (DNA directed) polypeptide D	Polr3d
ENSMUSG00000000782	86	48	129.999	85	122	84	transcription factor 7, T cell specific	Tcf7
ENSMUSG00000000787	8909.983	7047.091	12055.992	7836.926	12612.624	13325.448	DEAD box helicase 3, X-linked	Ddx3x
ENSMUSG00000000791	16.002	8	25.027	14	20	20	interleukin 12 receptor, beta 1	Il12rb1
ENSMUSG00000000792	155	81	137	190	190	206	solute carrier family 5 (sodium iodide symporter), member 5	Slc5a5
ENSMUSG00000000794	22	14	10	45	6	85	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	Kcnn3
ENSMUSG00000000804	1335.001	869	1398.001	1153.001	1785.999	1760.999	ubiquitin specific peptidase 32	Usp32
ENSMUSG00000000805	5111.999	4855	6088	6072.999	6950	7729	carbonic anhydrase 4	Car4
ENSMUSG00000000811	87	98	129	108	113	99	thioredoxin reductase 3	Txnrd3
ENSMUSG00000000817	15	22	17	50	47	13	Fas ligand (TNF superfamily, member 6)	Fasl
ENSMUSG00000000823	569.461	371	586.432	625.999	843.947	1195.577	zinc finger protein 512B	Zfp512b
ENSMUSG00000000826	1984	1297	2322	1810	2939	3262	DnaJ heat shock protein family (Hsp40) member C5	Dnajc5
ENSMUSG00000000827	1251.999	1597	2074	1588	1727	2015.001	tumor protein D52-like 2	Tpd52l2
ENSMUSG00000000838	1423.57	1293.056	1791.577	1424.57	2113.325	2379.653	FMRP translational regulator 1	Fmr1
ENSMUSG00000000861	16.001	2	18.001	11	11	14.999	B cell CLL/lymphoma 11A (zinc finger protein)	Bcl11a
ENSMUSG00000000869	0	0	0	0	0	1	interleukin 4	Il4
ENSMUSG00000000876	966.532	916.425	1144.674	952.914	1162.045	1584.974	peroxisomal membrane protein 4	Pxmp4
ENSMUSG00000000881	2052.999	1476	2580	1767	2793	2781	discs large MAGUK scaffold protein 3	Dlg3
ENSMUSG00000000884	49	71	88	79.001	94.999	93.001	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	Gnb1l
ENSMUSG00000000889	0	0	0	1	0	0	dopamine beta hydroxylase	Dbh
ENSMUSG00000000901	577.999	353	664.003	534	1003.001	881	matrix metallopeptidase 11	Mmp11
ENSMUSG00000000902	1567.551	2050.307	2160.144	1861.634	2373.755	2244.881	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	Smarcb1
ENSMUSG00000000903	7	4	2	3	1	6	pre-B lymphocyte gene 3	Vpreb3
ENSMUSG00000000915	1307.067	1162.58	1809.214	1226.401	1835.201	2284.601	huntingtin interacting protein 1 related	Hip1r
ENSMUSG00000000916	141.999	154.999	211.001	136	213.999	227	NOL1/NOP2/Sun domain family, member 5	Nsun5
ENSMUSG00000000934	486	564	857.999	504	715	589	DNA topoisomerase 1, mitochondrial	Top1mt
ENSMUSG00000000938	814	896	1488.001	1602	2579	2017	homeobox A10	Hoxa10
ENSMUSG00000000942	5	10	18	3	8	17	homeobox A4	Hoxa4
ENSMUSG00000000948	68.601	49.709	10.142	43.713	78.182	69.977	NA	NA
ENSMUSG00000000957	1315.85	609.516	1528.236	1528.256	2552.27	3061.472	matrix metallopeptidase 14 (membrane-inserted)	Mmp14
ENSMUSG00000000958	1034	881.001	1339	1045.999	1010.001	1896	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	Slc7a7
ENSMUSG00000000959	792	735	1088.999	783	1095	1004	oxidase assembly 1-like	Oxa1l
ENSMUSG00000000976	211.202	189.68	261.412	246.118	285.916	332.021	HEAT repeat containing 6	Heatr6
ENSMUSG00000000982	5	10	74	15	27	13	chemokine (C-C motif) ligand 3	Ccl3
ENSMUSG00000000983	0	0	1	1	0	1	WAP four-disulfide core domain 18	Wfdc18
ENSMUSG00000001014	37	31	69	45	87	66	intercellular adhesion molecule 4, Landsteiner-Wiener blood group	Icam4
ENSMUSG00000001016	985.151	1304.413	1398.32	1266.366	1553.155	1582.656	interleukin enhancer binding factor 2	Ilf2
ENSMUSG00000001017	2273.001	2485	3198.52	2558	3329	3345.844	chromatin target of PRMT1	Chtop
ENSMUSG00000001018	924.001	883.001	1159	1132	1343	1497	SNAP-associated protein	Snapin
ENSMUSG00000001020	54	107	136	112	98	99	S100 calcium binding protein A4	S100a4
ENSMUSG00000001021	2	8	11	7	10	7	S100 calcium binding protein A3	S100a3
ENSMUSG00000001023	16	26	39	25	32	27	S100 calcium binding protein A5	S100a5
ENSMUSG00000001025	10553	16482	24111	14777	17152	16560.999	S100 calcium binding protein A6 (calcyclin)	S100a6
ENSMUSG00000001027	7	2	11	10	3.011	4	sodium channel, voltage-gated, type IV, alpha	Scn4a
ENSMUSG00000001029	103	124	256	142	198	141	intercellular adhesion molecule 2	Icam2
ENSMUSG00000001034	291	288	393	312	476	431.999	mitogen-activated protein kinase 7	Mapk7
ENSMUSG00000001036	768	417	984	889.999	1323	1370.999	epsin 2	Epn2
ENSMUSG00000001039	108	153	188.999	175	185.999	163	B9 protein domain 1	B9d1
ENSMUSG00000001052	1510.999	1459.001	2032	1373	2147	2147	Sec24 related gene family, member B (S. cerevisiae)	Sec24b
ENSMUSG00000001053	186	285	451	336	535	312	NEDD4 binding protein 3	N4bp3
ENSMUSG00000001054	478.999	658	784.999	694.001	972	970.999	required for meiotic nuclear division 5 homolog B	Rmnd5b
ENSMUSG00000001056	680	1048	992	1114	911	1602	NHP2 ribonucleoprotein	Nhp2
ENSMUSG00000001062	250.174	177	336	251.604	345.279	279	VPS9 domain containing 1	Vps9d1
ENSMUSG00000001065	402	271	503	270.001	446.998	422.999	zinc finger protein (C2H2 type) 276	Zfp276
ENSMUSG00000001076	5	1	12	7	7	9	complement component 1, q subcomponent-like 4	C1ql4
ENSMUSG00000001082	582	400.999	737.999	540.999	923	819.999	major facilitator superfamily domain containing 10	Mfsd10
ENSMUSG00000001089	1733	896	1956	1340	2666	2216	leucine zipper protein 1	Luzp1
ENSMUSG00000001095	6	1	7	22	23	37	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	Slc13a2
ENSMUSG00000001098	6328.964	5956.982	8361.993	5650.993	8538.988	7869.972	potassium channel tetramerisation domain containing 10	Kctd10
ENSMUSG00000001100	920.244	1137.35	1363.076	1270.371	1358.402	1678.027	polymerase (DNA-directed), delta interacting protein 2	Poldip2
ENSMUSG00000001103	0	0	0	0	0	0	SEBOX homeobox	Sebox
ENSMUSG00000001105	1406	2069	2138.001	1709	1719	2030	intraflagellar transport 20	Ift20
ENSMUSG00000001119	242	80	118	361	131	635	collagen, type VI, alpha 1	Col6a1
ENSMUSG00000001120	107	87	151.999	121	227.999	171	poly(rC) binding protein 3	Pcbp3
ENSMUSG00000001123	12326	18152	21999	13099	19407	14567	lectin, galactose binding, soluble 9	Lgals9
ENSMUSG00000001127	973.016	988.642	1414.623	1204.123	1541.187	1652.386	Araf proto-oncogene, serine/threonine kinase	Araf
ENSMUSG00000001128	27	29	71	30	52	28	complement factor properdin	Cfp
ENSMUSG00000001131	115	128	277	186	250	241	tissue inhibitor of metalloproteinase 1	Timp1
ENSMUSG00000001134	134	205.516	217.999	205	177	234	ubiquitously expressed prefoldin like chaperone	Uxt
ENSMUSG00000001138	452.731	206.716	449.923	398.736	720.248	715.433	cyclin M3	Cnnm3
ENSMUSG00000001143	832.654	456.207	992.674	657.977	1141.28	1006.569	lectin, mannose-binding 2-like	Lman2l
ENSMUSG00000001150	588	460.001	586	504	763.999	804	minichromosome maintenance complex component 3 associated protein	Mcm3ap
ENSMUSG00000001151	313	191.001	268.204	268	457.001	419	pericentrin (kendrin)	Pcnt
ENSMUSG00000001155	129	80	48.085	202.999	11	451	formiminotransferase cyclodeaminase	Ftcd
ENSMUSG00000001156	400	248	483	387	575	618	MAX dimerization protein 1	Mxd1
ENSMUSG00000001157	624.011	544.079	775.038	681.097	954.023	987.27	germ cell-less, spermatogenesis associated 1	Gmcl1
ENSMUSG00000001158	489	643	945	664	761.999	796.001	small nuclear ribonucleoprotein 27 (U4/U6.U5)	Snrnp27
ENSMUSG00000001166	225.739	245.625	300.792	283.852	367.344	271.968	2'-5' oligoadenylate synthetase 1C	Oas1c
ENSMUSG00000001168	3.02	0	2	0	1.008	0	2'-5' oligoadenylate synthetase 1H	Oas1h
ENSMUSG00000001173	216.93	191.699	292.292	224.493	364.101	451.456	OCRL, inositol polyphosphate-5-phosphatase	Ocrl
ENSMUSG00000001175	13024	15804	18331	15222	17820	19407.001	calmodulin 1	Calm1
ENSMUSG00000001211	1733.001	1111	1835	1809.001	1940.002	3409.999	1-acylglycerol-3-phosphate O-acyltransferase 3	Agpat3
ENSMUSG00000001225	7	7	5.771	4	8	21.646	solute carrier family 26, member 3	Slc26a3
ENSMUSG00000001227	66	47	80	44	97	142	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	Sema6b
ENSMUSG00000001228	424	508.993	511	549.571	898.464	654.001	ubiquitin-like, containing PHD and RING finger domains, 1	Uhrf1
ENSMUSG00000001229	562	595	801	553	922	950.001	dipeptidylpeptidase 9	Dpp9
ENSMUSG00000001240	281.746	309	524.001	365.573	486.319	296	receptor (calcitonin) activity modifying protein 2	Ramp2
ENSMUSG00000001247	756.992	677	741	1081.001	1002.974	1770.994	lipolysis stimulated lipoprotein receptor	Lsr
ENSMUSG00000001248	1009	873	1524.001	976	1671.999	1337.001	GRAM domain containing 1A	Gramd1a
ENSMUSG00000001249	616.999	416	290	824.001	67	2418.001	hepsin	Hpn
ENSMUSG00000001260	0	0	0	0	1	0	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1	Gabrg1
ENSMUSG00000001270	2261	2765.725	3603	2201.699	3549	3248.738	creatine kinase, brain	Ckb
ENSMUSG00000001280	1554.001	898	2074.999	1341	2684	2179	trans-acting transcription factor 1	Sp1
ENSMUSG00000001281	57.999	36	109	87	124	114	integrin beta 7	Itgb7
ENSMUSG00000001285	307	449.001	581.001	388.56	473	513	melanocyte proliferating gene 1	Myg1
ENSMUSG00000001288	240	153	283	223	455	353	retinoic acid receptor, gamma	Rarg
ENSMUSG00000001289	1339.555	2746	2644.211	2605.176	2025.184	2487.758	prefoldin 5	Pfdn5
ENSMUSG00000001300	729	392	752	552	1157	743	ephrin B2	Efnb2
ENSMUSG00000001305	252	456	474.97	343	482	442	ribosomal RNA processing 15 homolog	Rrp15
ENSMUSG00000001313	2212.94	3445.082	3601	2996	3795.022	2849.933	Rho family GTPase 2	Rnd2
ENSMUSG00000001323	839.663	683.032	1025.411	715.591	1008.038	1194.004	serine racemase	Srr
ENSMUSG00000001333	28	22	30	101	104	83	syncoilin	Sync
ENSMUSG00000001334	380	212	486	171	265	428	fibronectin type III domain containing 5	Fndc5
ENSMUSG00000001348	484	315	581	492	411.001	892	acid phosphatase 5, tartrate resistant	Acp5
ENSMUSG00000001349	2	3	0	8	11	5	calponin 1	Cnn1
ENSMUSG00000001366	463	519	670.001	563.001	697.001	840	f-box protein 9	Fbxo9
ENSMUSG00000001376	517.452	556.026	659.035	608.902	827.004	877.004	VPS50 EARP/GARPII complex subunit	Vps50
ENSMUSG00000001380	852	1312.999	1452	1142	1471	1482	histidyl-tRNA synthetase	Hars
ENSMUSG00000001383	1386	1789	2087	1554	2054	2279	zinc finger, matrin type 2	Zmat2
ENSMUSG00000001403	336.579	563.616	530.892	619.336	385.69	653.604	ubiquitin-conjugating enzyme E2C	Ube2c
ENSMUSG00000001415	1540.014	1182.645	1995.967	1385.788	2933.446	2073.201	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	Smg5
ENSMUSG00000001416	3752.007	4843.943	5522.079	4602.212	5969.131	5932.09	chaperonin containing Tcp1, subunit 3 (gamma)	Cct3
ENSMUSG00000001418	5037.716	3949.962	6897.414	4594.134	7302.886	7055.638	glycosylated lysosomal membrane protein	Glmp
ENSMUSG00000001419	2241	1633	2769.999	1966.999	3497	3384.999	myocyte enhancer factor 2D	Mef2d
ENSMUSG00000001420	319.999	218	303.41	301.532	384.001	476.159	transmembrane protein 79	Tmem79
ENSMUSG00000001424	4460.99	4788	6237.002	4693.851	6544.001	6778.999	staphylococcal nuclease and tudor domain containing 1	Snd1
ENSMUSG00000001435	1081.001	407	509.999	1000	663	2691	collagen, type XVIII, alpha 1	Col18a1
ENSMUSG00000001436	160	126	186	290	289.999	441	solute carrier family 19 (folate transporter), member 1	Slc19a1
ENSMUSG00000001440	3921.001	3632	5058.999	4279	6142	5997	karyopherin (importin) beta 1	Kpnb1
ENSMUSG00000001441	1793	1427.624	2474.08	1689.767	2554.343	2933.458	aminopeptidase puromycin sensitive	Npepps
ENSMUSG00000001444	2	3	2	4	5	3	T-box 21	Tbx21
ENSMUSG00000001445	1052.134	1214.104	1445.707	1259.719	1482.427	1555.785	mitochondrial ribosomal protein L10	Mrpl10
ENSMUSG00000001467	674.036	683	749	931.176	991	2047	cytochrome P450, family 51	Cyp51
ENSMUSG00000001472	3281.001	3535.001	4821	3531.001	4918	4821.999	transcription factor 25 (basic helix-loop-helix)	Tcf25
ENSMUSG00000001473	530.98	749	999	826	1362.492	934.001	tubulin, beta 6 class V	Tubb6
ENSMUSG00000001482	996.006	702.003	1227.791	812.686	949.77	1765.69	differentially expressed in FDCP 8	Def8
ENSMUSG00000001493	9	2	5	10	12	5	mesenchyme homeobox 1	Meox1
ENSMUSG00000001494	0	0	0	0	0	0	sclerostin	Sost
ENSMUSG00000001496	6.859	2.26	1.918	0	5.618	0	NK2 homeobox 1	Nkx2-1
ENSMUSG00000001497	9.834	8.823	19.766	11.249	5.059	9.787	paired box 9	Pax9
ENSMUSG00000001504	103.001	127.944	161.001	83	154	153.001	Iroquois homeobox 2	Irx2
ENSMUSG00000001506	7595.999	1522	2611	21401	1907	26452.001	collagen, type I, alpha 1	Col1a1
ENSMUSG00000001507	3358	1247	3593	3073	5946.999	4846	integrin alpha 3	Itga3
